timestamp,source_ip,destination_ip,protocol,destination_port,packet_count,failed_logins,cpu_usage,memory_usage,connection_frequency,session_duration
2026-08-14 10:00:01,192.168.1.10,192.168.1.1,TCP,80,120,0,32,41,12,180
2026-08-14 10:00:08,192.168.1.12,192.168.1.1,TCP,443,140,0,34,43,15,210
2026-08-14 10:01:15,192.168.1.20,192.168.1.1,TCP,22,60,1,28,39,8,90
2026-08-14 10:02:02,192.168.1.55,192.168.1.1,TCP,22,980,18,91,86,210,25
2026-08-14 10:02:30,192.168.1.55,192.168.1.1,TCP,22,1025,22,94,88,235,20
2026-08-14 10:03:11,192.168.1.30,192.168.1.1,UDP,53,75,0,31,40,10,70
2026-08-14 10:04:10,192.168.1.41,192.168.1.1,TCP,445,860,10,84,79,180,35
2026-08-14 10:05:45,192.168.1.88,192.168.1.1,TCP,3389,910,14,87,82,195,30
2026-08-14 10:06:20,192.168.1.15,192.168.1.1,TCP,443,130,0,33,42,13,205
2026-08-14 10:07:00,192.168.1.99,192.168.1.1,TCP,8080,1200,25,96,91,250,18
